docnumber,label,labels_coll
doc1 label1,Research ID,"Research  CENTER
2   DEVELOPMENT 3445 
3   INSTITUTE 3212 
4   EDUCATION 2434 
5   UNIVERSITY 2347 
6   RESEARCH 1949 
7   GROUP 1845 
8   DIRECTOR 1701 
9   STUDY 1694 
10   HEALTH identification "
doc1 label2,Frozen ID,"Frozen identification  NUMBER	236	 2		 TEAM	194	 3		 PROCESS	184	 4		 WORD	165	 5		 STUDENTS	140	 6		 GROUP	128	 7		 SYSTEM	128	 8		 CARD	122	 9		 CARDS	118	 10		 PROBLEM "
doc1 label3,Trial ID,"Trial  MURDER 996 
2   LAWYERS 903 
3   COURT 815 
4   JURY 730 
5   ERROR 725 
6   CASE 612 
7   TIME 607 
8   JUDGE 579 
9   LAWYER 571 
10   TRIAL 422 
11   CHARGES identification  NUMBER	236	 2		 TEAM	194	 3		 PROCESS	184	 4		 WORD	165	 5		 STUDENTS	140	 6		 GROUP	128	 7		 SYSTEM	128	 8		 CARD	122	 9		 CARDS	118	 10		 PROBLEM "
doc1 label4,FFPE ID,"Formalin  10% 8 
2   PERCENT 4 
3   SOLUTION 4 
4   SMELL 3 
5   FIXATION 2 
6   HOURS 2 
7   METHYLENE 2 
8   PARAFFIN 2 
9   ROOM 2 
10   POLYP Fixed Paraffin Embedded identification  NUMBER	236	 2		 TEAM	194	 3		 PROCESS	184	 4		 WORD	165	 5		 STUDENTS	140	 6		 GROUP	128	 7		 SYSTEM	128	 8		 CARD	122	 9		 CARDS	118	 10		 PROBLEM "
doc1 label5,Tumor Source,"Tumor BRAIN 596 
2   CELLS 296 
3   GROWTH 156 
4   SIZE 100 
5   CELL 74 
6   PATIENT 66 
7   CANCER 65 
8   TUMOR 58 
9   SURGERY 52 
10   STAGE Source    INFORMATION 1270 
2   ENERGY 947 
3   WATER 781 
4   POWER 766 
5   INCOME 648 
6   FOOD 612 
7   DATA 474 
8   REVENUE 389 
9   MATERIAL 369 
10   HEAT"
doc1 label6,Procurement,"Procurement GOVERNMENT 119 
2   ORGAN 58 
3   DEFENSE 48 
4   WEAPONS 45 
5   PROCESS 42 
6   POLICY 29 
7   RULES 28 
8   SYSTEM 28 
9   ARMS 27 
10   NETWORK  ffpe Formalin-Fixed, Paraffin-Embedded  frozen oct"
doc1 label7,RNA isolation,"RNA Ribonucleic Acid isolation ambion recall qiagen rneasy invitrogen paxgene  THERAPY	521	 2		 POOL	294	 3		 EXPRESSION	281	 4		 ANCHOR	203	 5		 GENE	180	 6		 PROTEIN	125	 7		 MUTATION	120	 8		 CANCER	109	 9		 FLOW	108	 10		 CELLS blood rna kit purelink "
doc1 label8,Amplification,"Amplification nugen formalin 10% 8 
2   PERCENT 4 
3   SOLUTION 4 
4   SMELL 3 
5   FIXATION 2 
6   HOURS 2 
7   METHYLENE 2 
8   PARAFFIN 2 
9   ROOM 2 
10   POLYP  fixed parafin wax chemicals emersed beta 1 2 3"
doc1 label9,Affy Microarray,"Affy Microarray  DNA 25 
2   ANALYSIS 16 
3   DATA 15 
4   TECHNOLOGY 11 
5   STUDIES 9 
6   PROBES 6 
7   GENES 5 
8   EXPERIMENTS 5 
9   METHODS 5 
10   ANALYSES"
doc1 label10,HPV Stat,"Human papillomavirus Status  QUO 3298 
2   HEALTH 1097 
3   WOMEN 793 
4   STATUS 445 
5   EDUCATION 436 
6   POWER 408 
7   IMMIGRATION 379 
8   AGE 378 
9   GENDER 364 
10   EMPLOYMENT neg pos"
doc1 label11,Diagnosis Date,"Diagnosis  TREATMENT 586 
2   CANCER 289 
3   YEARS 179 
4   DISEASE 167 
5   TIME 157 
6   DISORDER 135 
7   PATIENTS 122 
8   MANAGEMENT 100 
9   DIAGNOSIS 98 
10   DOCTOR date  TIME	624	 2		 BIRTH	537	 3		 NIGHT	361	 4		 YEARS	361	 5		 RAPE	336	 6		 YEAR	301	 7		 EXPIRATION	295	 8		 NAME	266	 9		 RELEASE	236	 10		 COURT "
doc1 label12,Recurrence Date,"Recurrence  RATE 91 
2   RISK 89 
3   CANCER 85 
4   RATES 66 
5   PATIENTS 62 
6   METASTASIS 40 
7   DISEASE 37 
8   BREAST 35 
9   EVIDENCE 35 
10   TUMOR date  TIME	624	 2		 BIRTH	537	 3		 NIGHT	361	 4		 YEARS	361	 5		 RAPE	336	 6		 YEAR	301	 7		 EXPIRATION	295	 8		 NAME	266	 9		 RELEASE	236	 10		 COURT "
doc1 label13,Death Date,"Death  PENALTY 5495 
2   LIFE 3639 
3   ROW 1864 
4   CAUSE 1668 
5   YEARS 1423 
6   FATHER 1234 
7   TIME 1206 
8   TOLL 1198 
9   SENTENCE 1109 
10   DEATH date  TIME	624	 2		 BIRTH	537	 3		 NIGHT	361	 4		 YEARS	361	 5		 RAPE	336	 6		 YEAR	301	 7		 EXPIRATION	295	 8		 NAME	266	 9		 RELEASE	236	 10		 COURT "
doc1 label14,date of last follow up,"date  TIME	624	 2		 BIRTH	537	 3		 NIGHT	361	 4		 YEARS	361	 5		 RAPE	336	 6		 YEAR	301	 7		 EXPIRATION	295	 8		 NAME	266	 9		 RELEASE	236	 10		 COURT of last follow up  STUDY 330 
2   QUESTIONS 187 
3   QUESTION 173 
4   STUDIES 171 
5   DATA 159 
6   MONTHS 157 
7   YEARS 157 
8   INTERVIEWS 146 
9   PATIENTS 136 
10   CARE "
doc1 label15,AGE AT Dx,"AGE  YEARS 5350 
2   CHILDREN 2389 
3   GROUP 2358 
4   GENDER 1779 
5   PEOPLE 1756 
6   WOMEN 1627 
7   GROUPS 1425 
8   AGE 1176 
9   SEX 1117 
10   MEN AT Diagnosis  TREATMENT 586 
2   CANCER 289 
3   YEARS 179 
4   DISEASE 167 
5   TIME 157 
6   DISORDER 135 
7   PATIENTS 122 
8   MANAGEMENT 100 
9   DIAGNOSIS 98 
10   DOCTOR"
doc1 label16,Ethnicity,"Ethnicity  RACE 1043 
2   GENDER 665 
3   AGE 282 
4   RELIGION 213 
5   CLASS 193 
6   STATUS 142 
7   SEX 125 
8   CULTURE 106 
9   EDUCATION 79 
10   LANGUAGE B W O"
doc1 label17,SEX,"SEX SEX 1438 
2   LIFE 1229 
3   MEN 1117 
4   AGE 1106 
5   WOMEN 914 
6   EDUCATION 909 
7   OFFENDERS 838 
8   VIOLENCE 634 
9   RACE 618 
10   CITY  M F"
