docnumber,labels
doc1 label1,Research identification 
doc1 label2,Frozen identification 
doc1 label3,Trial identification 
doc1 label4,FFPE identification 
doc1 label5,Tumor Source adjacent normal lung mucosa blood normal primary recurrent second met 
doc1 label6,Procurement ffpe frozen oct
doc1 label7,RNA isolation ambion recall qiagen rneasy invitrogen paxgene blood rna kit purelink 
doc1 label8,Amplification nugen ffpe beta 1 2 3
doc1 label9,Affy Microarray 
doc1 label10,HPV Stat neg pos
doc1 label11,Diagnosis Date 
doc1 label12,RecurrenceDate 
doc1 label13,DeathDate 
doc1 label14,date of last follow up 
doc1 label15,AGE AT Dx 
doc1 label16,Ethnicity B W O
doc1 label17,SEX M F
doc1 label18,tumor subsite HP L OC OP Unknown Primary
doc1 label19,Cancer FHx N Y
doc1 label20,Tobacco pyr
doc1 label21,EtOH N Y
doc1 label22,clinical stage at Dx 1 2 3 4
doc1 label23,Clinical TNM at Dx T1N T2N T3N T4N TXN
doc1 label24,path stage at Dx 1 2 3 4
doc1 label25,Path TNM at Dx T1N T2N T3N T4N TXN
doc1 label26,Path Diff Mod Well Poor
doc1 label27,Primary Therapy S XRT IC CCR I
doc1 label28,Rec Yes No
doc1 label29,Disease state NED DOD AWD
doc1 label30,DistantLocal Distant Local
doc1 label31,Rec Location LN esophagus left Primary Lung skin bone left axillary liver trachea rec met locoregional
doc1 label32,Comments 
doc1 label33,Tumor HAND identification 
doc2 label34,RNA HAND identification 
doc2 label35,DNA HAND identification 
doc2 label36,MRN 
doc2 label37,DOB 
doc2 label38,DateTissue Harvest 
doc2 label39,Gender Female 0    Male 1 0 1
doc2 label40,Race 1 Caucasian 2 African american 3 Asian 1 2 3
doc2 label41,Ethnicity 1 Hispanic  0 Non Hispanic 1 0
doc2 label42,Smoking 0 no 1  yes  0 1
doc2 label43,current Smoking 0 no 1  yes 0 1
doc2 label44,Type of smoking 0 nothing 1 Cigarette   2 Cigar   3 Chewing tobacco 4 Pipe 5snuff 1 2 3 4 5
doc2 label45,Pack years 
doc2 label46,Date Started 
doc2 label47,Date Stopped 
doc2 label48,Alcohol 0 no 1  yes 0 1 
doc2 label49,Current drinker 0 no 1  yes 0 1
doc2 label50,age last alcohol 
doc2 label51,Tumor Site 1 Oral cavity  2 oropharynx 3 larynx 4  hypopharynx  1 2 3 4
doc2 label52,T stage 1 2 3 4 4A
doc2 label53,N stage 01 1 2 2 3 2 A4 2B 5 2C 6 3 7 3B 8  0 1 2 2A 2B 2C 3 3B
doc2 label54,M stage 0
doc2 label55, Date Last FU 
doc2 label56,Disease status at Last FU 1 NED 2 AWD 3 DOD 4 DUC  1 2 3 4
doc2 label57, Follow Up Status 1 On FU 0 LFU 0 1
doc2 label58, Date od Death 
doc2 label59,PCR. HPV16 status 0  HPV16 -  1  HPV16 +  0 1
doc2 label60,p16 0  p16 - 1  p16 + 0 1
doc2 label61,HPV16 ISH 0  HPV16 -  1  HPV16 + 0 1
doc2 label62,!!!!!!!!!!!!! HPV status clin/PCR combined 0  HPV16 -  1  HPV16 + 0 1
doc2 label63,Prior Surgery Before enroll in the study yes 1 no 0 0 1
doc2 label64,Prior Radiation before enroll in the study yes 1 no 0 0 1
