dName,num_values
d1_RID,1000
d1_FD,1000
d1_TID,1000
d1_FFID,1000
d1_Tumor_Sourc,9
d1_Procurement,3
d1_RNA,4
d1_Amp,5
d1_Affy_Micro,1000
d1_HPV_Stat,2
d1 Diagnosis Date,1000
d1_RecDate,1000
d1_DeathDate,1000
d1_dateLastFollow,1000
d1_AGE_Dx,1000
d1_ethnicity,3
d1_SEX,2
d1_tumor_subsite,5
d1_Cancer,2
d1_Tobacco,1000
d1_EtOH,2
d1 clinical stage at Dx 1 2 3 4,4
d1_clinic_tmn,1000
d1_path_stage,4
d1_Path_TNM,1000
d1_Path_Diff,3
d1_Pri_Therapy,5
d1_Rec,2
d1_Disease_state,3
d1_DistantLocal,2
d1_Rec_Loc,1000
d1_Comments,1000
d1_Tumor_ID,1000
d2_RNA_ID,1000
d2_DNA_ID,1000
d2_MRN,1000
d2_DOB,1000
d2_DateTissue,1000
d2_Gender,2
d2_Race,3
d2_Ethnicity,2
d2_Smoking,2
d2_current_Smoking,2
d2_Type_smoking,5
d2_pack_years,1000
d2_date_started,1000
d2_Date_Stopped,1000
d2_Alcohol,2
d2_Currdrinker,2
d2_age_last_alc,1000
d2_tumor_site,4
d2_t_stage,5
d2_N_stage,8
d2_M_stage,1
d2_Date_Last_FU,1000
d2_Disease_status,4
d2_Follow_Up_Status,2
d2_Date_Death,1000
d2_HPV16_status,2
d2_p16,2
d2_HPV16_ISH,2
d2_HPV_status_PCR,2
d2_Prior_Surgery,2
d2_Prior_Radiation,2
d2_Prior_Chemo,2
d2_Primary_Surgical,2
d2_Primary_rad,2
d2_Primary_chem,2
d2_Post_Surgery_Chemo,2
d2_Post_Surgery_Radio,2
d2_Recc1,2
d2_Date1st_Recc,1000
d2_Site_Local,2
d2_Site_Regiona,2
d2_Site_Distant,2
d2_Rx_Sur,2
d2_Rx_Chemo,2
d2_Rx_Radio,2
d2_Recc2,2
d2_Date2nd_Recc,1000
d2_Site_Local,2
d2_Site_Regional,2
d2_Site_Distant,2
d2_Rx_Surgery,2
d2_Rx_Chemo,2
d2_Rx,2
d2_Recc3,2
d2_Date_3rd_Recc,1000
d2_Site_Local,2
d2_Site_Regional,2
d2_Site_Distant,2
d2_Rx_Surger,2
d2_RxChemo,2
d2_Rx_Radio,2
d2_Patient,1000
d3_Age_years,1000
d3_Age_class,2
d3_Sex,2
d3_local_code,1000
d3_local_class,4
d3_pathol,4
d3_pathological_lymph_node_stage,4
d3_pathological_lymph_node_status,2
d3_pathological_stage,4
d3_diff,4
d3_HPV_status,2
d3_post_surgical_treat,2
d3_clinical_follow_up,1000
d3_recurr_status,2
d3_mest_free_survival,1000
d3_Actual_status,2
d3_Overall_surviva,1000
d3_Affymetrix_data,2
d3_CGH_data,2
d3_RTPCR_data,2
d3_Patients_included_in_pred,2
d3_4_gene_pred,2
d3_4_genes_pred_score,1000
d3_Affymetrix_sample_sets,3
d3_RTP_CR_sample_sets,3
d3_Filename,1000
d4_Tu_vs_NL_cancer,1000
d4_Age_Dx,1000
d4_Gender,2
d4_Smoking_Status,3
d4_OC_vs_OP_oral_cavity,2
d4_T_stage,4
d4_cN_stage,4
d4_pN_stage,4
d4_DM,1
d4_ecs,2
d4_treatment,4
d4_dxdate,1000
d4_txdate,1000
d4_localrecur,2
d4_locrecurdt,1000
d4_nodalrecu,2
d4_nodrecurdt,1000
d4_DM,1000
d4_DM,1000
d4_survivallastfollowup,9
d4_vital_dead,4
d4_lastfudt,1000
d4_futime,1000
d4_ajcc4,4
d4_ajcc2,2
d4_OSCCdeath,2
d4_alldeath,2
d4_MainID,1000
d5_Cellfile_ID,1000
d5_Tissue_type_prim_tumor,2
d5_Gender,2
d5_Age_at_op,1000
d5_Centre,2
d5_Primary_orrecur,1
d5_Anatomic_Region,5
d5_Site_tonsil_,1000
d5_Side,5
d5_ClinTstage,4
d5_ClinNstage,5
d5_Nature_of_operation,1000
d5_Previous_site,1000
d5_Previous_stage,1000
d5_Previous_surgery,1000
d5_Previous_DXT,1000
d5_Previous_chemo,1000
d5_Previous_disease_notes,1000
d5_Smoke_,4
d5_Alcohol,3
