docName,labelText,valuesText,numValues
doc1_Research_identificat,search inquiri research identif recognit design explor enquiri,,1000
doc1_Frozen_identificatio,suspend immobil frosti wintri dead down design immobilis still out freez ici fix flash identif recognit glacial stock stop frigid frozen quick root block,,1000
doc1_Trial_identification,run recognit visit identif trial design tribul tryout test,,1000
doc1_FFPE_identification,identif recognit design ffpe,,1000
doc1_Tumor_Source,origin tumour sourc reservoir author gener begin germ tumor inform neoplasm rootag root seed refer,perenni mucosa secondli touch suffer fit elementari contermin adjoin main match get rake rakehel bit recurr roue 2d princip side fulfil encount stemma back second sec quill contigu pattern formula across ancestri run parentag lineag met base come by on instant irregular of converg s neighbor origin endors elect conform proflig into 2nd lung membran primari convent to next adjac master feather gear cope basal togeth line with mo indors forgath meet minut rip bloodlin pedigre assembl descent receiv satisfi take fill stock play repeat see normal arcsecond moment blood coil foregath mucou gather rule element chief contact wind,9
doc1_Procurement,procur,suspend immobil frosti wintri dead down immobilis still out freez ici fix flash glacial oct stock ffpe stop frigid octob frozen quick root block,3
doc1_RNA_isolation,off rna isol ribonucl close acid,origin stemma hark proflig back rip paxgen return bloodlin purelink in invitrogen acid pedigre reminisc descent come call rememb roue stock ancestri recal parentag rna rake rneasi kit lineag blood qiagen line echo ambion retriev outfit of up recollect callback withdraw ribonucl out think rakehel,4
doc1_Amplification,amplif gain elabor,ane trio one ii terzetto uniti tercet deuc nugen three triniti 1 3 2 trine singl triplet ffpe troika threesom beta two iii ternion ternari ace i genu trey tierc triad leash,5
doc1_Affy_Microarray,microarray affi,,1000
doc1_HPV_Stat,stat hpv,polonium neg offic us number state petti 84 atom post river po unit,2
doc1_Diagnosis_Date,appoint stamp engag diagnos of diagnosi month go see escort particular date the steadi day out,,1000
doc1_Recurrence_Date,appoint return engag stamp of day go see escort particular date the month steadi recurr out,,1000
doc1_Death_Date,engag month see demis go out death end stamp escort particular date day expiri appoint last deceas of destruct die the steadi,,1000
doc1_date_of_last_follow_,conform stop engag point over lastli surviv fini astir see cobbler follow go close pursu abreast abid out death end in stamp with travel day upwardli to live espous take escort endur shoemak termin fall final lowest be play finish an trace eye month conclud net after watch surveil compli succeed accompani stick particular date utmost along hold come by conclus stage appoint on postdat last survey of adopt up keep s place improv the steadi observ upward,,1000
doc1_Age_At_diagnosis,on matur geezerhood astatin get diagnos year age atom diagnosi histor long period old senesc at time number eld 85,,1000
doc1_Ethnicity,ethnic,atom number westward tungsten bacillu barn group west doubl due complex 5 8 type wolfram vitamin 74 boron watt b oxygen bel o u w,3
doc1_SEX,excit on urg practic gender activ up sex turn arous sexual wind,metr chiliad number meter one fluorin concentr farad mib megabyt fahrenheit grand 9 thousand atom molar yard g f thou mebibyt k mb m degre 1000,2
doc1_tumor_subsite,tumor tumour neoplasm subsit,elect elementari obscur 50 alien quantiti primari quill fifti unknown chief litr master feather main liter cubic lambert hp terra basal decimetr unsung unidentifi coil strang horsepow stranger region oc l element incognita princip wind nameless unnam decimet op,5
doc1_Cancer_FHx,diseas cancer neoplast genu malign fhx crab the,northward yttrium north 7 normal 39 newton due n wye nitrogen atom y number,2
doc1_Tobacco,plant tobacco bacci,pyr,1000
doc1_EtOH,etoh,northward yttrium north 7 normal 39 newton due n wye nitrogen atom y number,2
doc1_clinical_stage_at_di,number level diagnos point diagnosi degre repres arrang clinic at microscop atom phase astatin stagecoach 85 leg present stage,ane trio one ii littl uniti tercet tetrad deuc foursom three triniti 1 3 2 4 ternari singl trine triplet terzetto quadruplet troika threesom quaternion two iv iii ternion four ace quaternari i trey tierc quatern triad leash quartet joe,4
doc1_Clinical_TNM_at_diag,diagnos diagnosi number clinic at atom tnm astatin 85,t3n txn t1n t4n t2n,1000
doc1_path_stage_at_diagno,point diagnos diagnosi number repres at microscop stagecoach 85 cours rout way life leg track arrang atom phase path present stage itinerari level of degre astatin,ane trio one ii littl uniti tercet tetrad deuc foursom three triniti 1 3 2 4 ternari singl trine triplet terzetto quadruplet troika threesom quaternion two iv iii ternion four ace quaternari i trey tierc quatern triad leash quartet joe,4
doc1_Path_TNM_at_diagnosi,life cours itinerari astatin track of rout diagnosi number diagnos at way atom tnm path 85,t3n txn t1n t4n t2n,1000
doc1_Path_Diff,life cours itinerari track of rout way diff path,consider advantag modern pitiabl substanti intim piteou comfort wretch modernist fountainhead poor good wellspr peopl swell hapless miser mod short pathet misfortun well piti easili inadequ,3
doc1_Primary_Therapy,therapi elect elementari chief element basal princip master wind coil feather main primari quill,ohm reciproc entropi ane intellig atom number one second nineti sec ic unit uniti commun southward due 1 iodin state sulfur singl random nation 99 xrt sulphur mho ace 16 i 53 ccr siemen s nine south,5
doc1_Rec,rec,no ye number nobelium atom 102 more,2
doc1_Disease_state,commonwealth depart say publica unit submit re state forward tell polit do diseas provinc express nation bodi put land of matter posit countri,depart of ned dod state awd defens unit,3
doc1_Distant_Local,upstag anesthet remot remov anaesthet topic distant aloof local,upstag anesthet remot remov anaesthet topic distant aloof local,2
doc1_Rec_Location,emplac fix localis posit rec local placement locat,leftfield forget over cuti bequeath scrape skin go depart suffer shinni fit ln behind color adjoin sputter exit main forgath match to get osseou leftov princip locoregion bone fulfil encount touch see result pass bark odd quill out hide lead pelt away axillari mug leav impart rec forth across run tegument peel satisfi met come swot on drum togeth alon struggl converg os elect conform elementari into trachea lung primari oesophagu debon esophagu pearl master cram feather unexpend pare cope basal ivori liver gorg with white gullet pull provid up will remain meet shin give element fill assembl receiv stake windpip field take scrambl play hand clamber coil entrust foregath off for gather alar grind chief contact allow left wing wind tissu,1000
doc1_Comments,comment remark point commentari gloss annot notic scuttlebutt input gossip out,,1000
doc2_Tumor_HAND_identific,help deal give over handwrit player design pass tumour paw identif recognit neoplasm mitt reach hand man on hire manu script tumor turn bridg,,1000
doc2_DNA_HAND_identificat,help deal give over handwrit player design pass acid dna paw identif recognit deoxyribonucl mitt reach hand desoxyribonucl man on hire manu script turn bridg,,1000
doc2_MRN,mrn,,1000
doc2_date_of_birth,engag give month see have deliv go out stamp escort parentag bear parturit birth particular date day appoint nascenc nativ of the steadi,,1000
doc2_Date_Tissue_Harvest,engag crop month see paper go home out stamp reap glean escort weav tissu particular date harvest day appoint of time the steadi,,1000
doc2_Gender_Female_Male,femal manli gender grammat distaff sex person manlik viril male sexual man,ane uniti cypher ace i nought one 1 0 zero cipher singl,2
