docName,labelText
d1_l1_Research_ID,search inquiri i research state r idaho explor enquiri id gem
d1_l2_Frozen_ID,suspend immobil frosti wintri dead down immobilis still id out freez ici fix flash state glacial idaho stock stop frigid gem f frozen i quick root block
d1_l3_Trial_ID,idaho run i visit trial state t tribul tryout test id gem
d1_l4_FFPE_ID,ffpe f i state idaho id gem
d1_l5_Tumor_Source_adjacen,reservoir mucosa secondli touch suffer fit elementari contermin neoplasm adjoin rootag main match sourc get rake rakehel bit roue l 2d p princip t side fulfil encount stemma back indors second sec quill contigu pattern formula across refer ancestri run gener parentag lineag met base come by satisfi instant irregular of tumor converg s neighbor origin endors elect conform proflig into 2nd lung membran germ primari tumour convent to next adjac master feather mucou gear cope basal togeth recurrencer line with play b mo see n forgath r meet minut root rip bloodlin seed pedigre assembl descent author receiv take fill stock begin normal arcsecond moment blood coil on foregath a gather m rule element inform chief contact wind
d1_l6_Procurement_ffpe_fro,suspend immobil frosti wintri dead down immobilis still out freez ici procur fix flash glacial oct stock ffpe stop frigid octob f frozen o p quick root block
d1_l7_RNA_isolation_ambion,origin stemma hark up proflig back rip echo return bloodlin purelink in close invitrogen acid pedigre reminisc descent callback come off call rememb roue stock ancestri recal parentag rna rake rneasi isol kit lineag blood qiagen line outfit ambion a b retriev i of k paxgen recollect q p r withdraw ribonucl out think rakehel
d1_l8_Amplification_nugen_,ane trio one ii terzetto uniti tercet deuc nugen three triniti 1 3 2 trine singl triplet ffpe troika amplif threesom beta gain elabor iii ternion a b ternari ace f i genu n trey tierc triad leash two
d1_l9_Affy_Microarray,a microarray m affi
d1_l10_HPV_Stat_negative_po,overconfid convinc plu cocksur minu damag confirm neg hpv irrefut disconfirm confid stat veto electroposit incontrovert degre charg positivist prescrib h electroneg n p s posit blackbal
d1_l11_Diagnosis_Date,appoint stamp d diagnos of diagnosi month go see escort particular date the out steadi day engag
d1_l12_recurrencerence_Date,appoint d stamp of engag particular month go see r escort recurrencer date the steadi day out
d1_l13_Death_Date,engag month see demis go out death end stamp escort particular date day expiri appoint last d deceas of destruct die the steadi
d1_l14_date_of_last_follow_,survey conform stop engag point lowest lastli termin l fini astir see cobbler close go follow pursu abreast abid out death end in stamp with travel day upwardli to live espous take escort endur shoemak place fall final surviv be play finish an trace eye month conclud net after watch surveil compli succeed accompani stick particular date utmost along hold come by conclus stage appoint on postdat over last d f of adopt up o keep s u improv the steadi observ upward
d1_l15_AGE_AT_diagnosis,geezerhood diagnos diagnosi period at year old eld 85 long matur get number atom a on d age histor senesc time astatin
d1_l16_Ethnicity_B_W_O,ethnic atom number westward tungsten bacillu barn group west doubl due complex 5 8 type wolfram vitamin 74 boron watt b e bel oxygen o u w
